date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:15:49	34822/34822	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:05%20GMT	http://www.fpiupdates.com.ng/	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/index.html	(from )
14:15:49	1817/1817	------	404	error ('Not%20Found')	text/html	date:Sun,%2012%20May%202024%2012:34:05%20GMT	http://www.fpiupdates.com.ng/robots.txt		(from )
14:15:49	274509/274509	------	200	untouched ('')	image/jpeg	date:Sun,%2028%20May%202023%2023:42:28%20GMT	https://fpiupdates.com.ng/media/featuredImage/FPI%20OLEVEL%20Combinations.jpg	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/fpiupdates.com.ng/media/featuredImage/FPI%20OLEVEL%20Combinations.jpg	(from http://www.fpiupdates.com.ng/)
14:15:49	84320/84320	------	200	untouched ('')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from http://www.fpiupdates.com.ng/)
14:15:49	36868/36868	------	200	untouched ('')	application/javascript	etag:W/%22c5b5b2fa19bd66ff23211d9f844e0131%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.6/js/bootstrap.min.js	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/maxcdn.bootstrapcdn.com/bootstrap/3.3.6/js/bootstrap.min.js	(from http://www.fpiupdates.com.ng/)
14:15:49	22683/22683	------	200	untouched ('')	image/png	date:Fri,%2024%20Feb%202023%2003:28:14%20GMT	http://www.fpiupdates.com.ng/assets/img/favicon.png	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/img/favicon.png	(from http://www.fpiupdates.com.ng/)
14:15:49	202/202	------	200	untouched ('OK')	text/css	date:Fri,%2006%20Jan%202023%2014:18:30%20GMT	http://www.fpiupdates.com.ng/assets/css/success.css	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/css/success.css	(from http://www.fpiupdates.com.ng/)
14:15:49	38615/38615	------	200	untouched ('OK')	text/css	date:Mon,%2010%20Apr%202023%2010:56:51%20GMT	http://www.fpiupdates.com.ng/assets/css/style.css	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/css/style.css	(from http://www.fpiupdates.com.ng/)
14:15:49	100782/100782	------	200	untouched ('OK')	text/css	date:Tue,%2022%20Mar%202022%2012:08:02%20GMT	http://www.fpiupdates.com.ng/assets/css/all.min.css	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/css/all.min.css	(from http://www.fpiupdates.com.ng/)
14:15:49	80388/80388	------	200	untouched ('OK')	text/css	date:Tue,%2022%20Mar%202022%2012:08:02%20GMT	http://www.fpiupdates.com.ng/assets/css/fontawesome.min.css	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/css/fontawesome.min.css	(from http://www.fpiupdates.com.ng/)
14:15:49	5105/5105	------	200	untouched ('OK')	text/css	date:Thu,%2002%20Mar%202023%2008:13:38%20GMT	http://www.fpiupdates.com.ng/assets/css/videostyle.css	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/css/videostyle.css	(from http://www.fpiupdates.com.ng/)
14:15:49	183927/183927	------	200	untouched ('')	text/javascript	etag:17490581023575754778	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-7448090304026142	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/pagead2.googlesyndication.com/pagead/js/fea4f.txt	(from http://www.fpiupdates.com.ng/)
14:15:49	210640/210640	------	200	untouched ('')	text/javascript	etag:W/%22336d0-g/6wprihOkYe7HpMswOVDodT6lU%22	https://platform-api.sharethis.com/js/sharethis.js	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/platform-api.sharethis.com/js/sharethis.js	(from http://www.fpiupdates.com.ng/)
14:15:49	34822/34822	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:24%20GMT	http://www.fpiupdates.com.ng/index	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/index-2.html	(from http://www.fpiupdates.com.ng/)
14:15:49	14350/14350	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:24%20GMT	http://www.fpiupdates.com.ng/about	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/about.html	(from http://www.fpiupdates.com.ng/)
14:15:49	13320/13320	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:25%20GMT	http://www.fpiupdates.com.ng/tutorial-videos	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/tutorial-videos.html	(from http://www.fpiupdates.com.ng/)
14:15:49	68722/68722	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:26%20GMT	http://www.fpiupdates.com.ng/posts	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/posts.html	(from http://www.fpiupdates.com.ng/)
14:15:49	26379/26379	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:26%20GMT	http://www.fpiupdates.com.ng/categories	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/categories.html	(from http://www.fpiupdates.com.ng/)
14:15:49	15870/15870	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:27%20GMT	http://www.fpiupdates.com.ng/donate	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/donate.html	(from http://www.fpiupdates.com.ng/)
14:15:49	216794/216794	------	200	untouched ('')	image/jpeg	date:Thu,%2009%20Mar%202023%2018:01:48%20GMT	http://www.fpiupdates.com.ng/media/backgroundImages/fpiImage1.jpg	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/media/backgroundImages/fpiImage1.jpg	(from http://www.fpiupdates.com.ng/)
14:15:49	41686/41686	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:27%20GMT	http://www.fpiupdates.com.ng/category/admission	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/category/admission.html	(from http://www.fpiupdates.com.ng/)
14:15:49	13863/13863	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:28%20GMT	http://www.fpiupdates.com.ng/past-questions	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/past-questions.html	(from http://www.fpiupdates.com.ng/)
14:15:49	13093/13093	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:29%20GMT	http://www.fpiupdates.com.ng/accomodation	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/accomodation.html	(from http://www.fpiupdates.com.ng/)
14:15:49	14899/14899	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:29%20GMT	http://www.fpiupdates.com.ng/advertisement	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/advertisement.html	(from http://www.fpiupdates.com.ng/)
14:15:49	15156/15156	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:30%20GMT	http://www.fpiupdates.com.ng/category/tutorials	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/category/tutorials.html	(from http://www.fpiupdates.com.ng/)
14:15:49	380976/380976	------	200	untouched ('')	image/png	date:Sat,%2012%20Nov%202022%2014:41:26%20GMT	http://www.fpiupdates.com.ng/assets/img/students.png	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/img/students.png	(from http://www.fpiupdates.com.ng/)
14:15:49	15164/15164	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:31%20GMT	http://www.fpiupdates.com.ng/category/e-books	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/category/e-books.html	(from http://www.fpiupdates.com.ng/)
14:15:49	26258/26258	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:31%20GMT	http://www.fpiupdates.com.ng/category/news	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/category/news.html	(from http://www.fpiupdates.com.ng/)
14:15:49	15168/15168	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:33%20GMT	http://www.fpiupdates.com.ng/category/entertainments	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/category/entertainments.html	(from http://www.fpiupdates.com.ng/)
14:15:49	26215/26215	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:33%20GMT	http://www.fpiupdates.com.ng/category/stories	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/category/stories.html	(from http://www.fpiupdates.com.ng/)
14:15:49	15204/15204	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:34%20GMT	http://www.fpiupdates.com.ng/category/memo	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/category/memo.html	(from http://www.fpiupdates.com.ng/)
14:15:49	13067/13067	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:34%20GMT	http://www.fpiupdates.com.ng/category/sports	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/category/sports.html	(from http://www.fpiupdates.com.ng/)
14:15:49	13091/13091	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:35%20GMT	http://www.fpiupdates.com.ng/category/technology	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/category/technology.html	(from http://www.fpiupdates.com.ng/)
14:15:49	28582/28582	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:37%20GMT	http://www.fpiupdates.com.ng/post/fpi-wins-gold-in-national-student-project-competition	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/post/fpi-wins-gold-in-national-student-project-competition.html	(from http://www.fpiupdates.com.ng/)
14:15:49	30771/30771	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:39%20GMT	http://www.fpiupdates.com.ng/post/ilaropoly-20232024-admission-form-is-out-finally	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/post/ilaropoly-20232024-admission-form-is-out-finally.html	(from http://www.fpiupdates.com.ng/)
14:15:49	156/156	------	404	error ('Not%20Found')	text/html	date:Sun,%2012%20May%202024%2012:35:59%20GMT	http://www.fpiupdates.com.ng/twitter.com/FPI_Updates	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/twitter.com/FPI_Updates.6.delayed	(from http://www.fpiupdates.com.ng/about)
14:15:49	30137/30137	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:41%20GMT	http://www.fpiupdates.com.ng/post/news-flash-federal-poly-ilaro-20232024-admission-form-is-out-finally	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/post/news-flash-federal-poly-ilaro-20232024-admission-form-is-out-finally.html	(from http://www.fpiupdates.com.ng/)
14:15:50	30709/30709	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:41%20GMT	http://www.fpiupdates.com.ng/post/news-flash-asuu-rejects-curriculum-designed-by-nuc	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/post/news-flash-asuu-rejects-curriculum-designed-by-nuc.html	(from http://www.fpiupdates.com.ng/)
14:15:50	33218/33218	------	200	untouched ('OK')	text/html	date:Sun,%2012%20May%202024%2012:34:42%20GMT	http://www.fpiupdates.com.ng/post/things-to-do-after-your-exams	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/post/things-to-do-after-your-exams.html	(from http://www.fpiupdates.com.ng/)
14:15:50	707/707	------	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20May%202024%2012:34:43%20GMT	http://www.fpiupdates.com.ng/fpiupdates.com.ng	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/fpiupdates.com.ng	(from http://www.fpiupdates.com.ng/)
14:15:50	1319/1319	------	200	untouched ('')	application/javascript	date:Sun,%2019%20Feb%202023%2006:41:24%20GMT	http://www.fpiupdates.com.ng/assets/js/script.js	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/js/script.js	(from http://www.fpiupdates.com.ng/)
14:15:50	6464111/6464111	------	200	untouched ('')	image/jpeg	date:Thu,%2001%20Feb%202018%2012:27:48%20GMT	http://www.fpiupdates.com.ng/assets/img/happystudents.jpg	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/img/happystudents.jpg	(from http://www.fpiupdates.com.ng/assets/css/style.css)
14:15:50	105536/105536	------	200	untouched ('')	font/woff2	date:Tue,%2022%20Mar%202022%2012:08:02%20GMT	http://www.fpiupdates.com.ng/assets/webfonts/fa-brands-400.woff2	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/webfonts/fa-brands-400.woff2	(from http://www.fpiupdates.com.ng/assets/css/all.min.css)
14:15:50	181852/181852	------	200	untouched ('')	font/ttf	date:Tue,%2022%20Mar%202022%2012:08:02%20GMT	http://www.fpiupdates.com.ng/assets/webfonts/fa-brands-400.ttf	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/webfonts/fa-brands-400.ttf	(from http://www.fpiupdates.com.ng/assets/css/all.min.css)
14:15:50	23940/23940	------	200	untouched ('')	font/woff2	date:Tue,%2022%20Mar%202022%2012:08:02%20GMT	http://www.fpiupdates.com.ng/assets/webfonts/fa-regular-400.woff2	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/webfonts/fa-regular-400.woff2	(from http://www.fpiupdates.com.ng/assets/css/all.min.css)
14:15:50	60520/60520	------	200	untouched ('')	font/ttf	date:Tue,%2022%20Mar%202022%2012:08:02%20GMT	http://www.fpiupdates.com.ng/assets/webfonts/fa-regular-400.ttf	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/webfonts/fa-regular-400.ttf	(from http://www.fpiupdates.com.ng/assets/css/all.min.css)
